School Code,School Name,School Type,Town,State,Grade,District Name,District Code,PK_Enrollment,K_Enrollment,1_Enrollment,2_Enrollment,3_Enrollment,4_Enrollment,5_Enrollment,6_Enrollment,7_Enrollment,8_Enrollment,9_Enrollment,10_Enrollment,11_Enrollment,12_Enrollment,SP_Enrollment,% First Language Not English,% English Language Learner,% Students With Disabilities,% High Needs,% Economically Disadvantaged,% African American,% Asian,% Hispanic,% White,% Native American,"% Native Hawaiian, Pacific Islander","% Multi-Race, Non-Hispanic",% Males,% Females,Average Class Size,Number of Students,Salary Totals,Average Salary,FTE Count,In-District Expenditures,Total In-district FTEs,Average In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Average Expenditures per Pupil
4170205,Bridge Boston Charter School,Charter School,Dorchester,MA,"PK,K,01,02,03,04,05",Bridge Boston Charter School (District),4170000,39,36,38,40,40,39,35,0,0,0,0,0,0,0,0,42.3,25.5,19.5,74.9,54.7,60.7,1.5,33.0,0.4,0.7,0.0,3.7,46.4,53.6,23.5,230.0,,,,,,,,,
6250320,Bridgewater Middle School,Public School,Bridgewater,MA,"07,08",Bridgewater-Raynham,6250000,0,0,0,0,0,0,0,0,252,254,0,0,0,0,0,1.4,0.4,13.2,22.1,12.1,3.6,0.8,2.0,89.7,0.0,0.2,3.8,54.2,45.8,22.3,497.0,26985881.0,82349.0,328.0,63702161.0,5280.5,12063.66,70289768.0,5509.0,12759.08
6250505,Bridgewater-Raynham Regional,Public School,Bridgewater,MA,"09,10,11,12",Bridgewater-Raynham,6250000,0,0,0,0,0,0,0,0,0,0,354,401,356,392,9,2.4,0.8,9.9,20.5,12.0,3.9,2.3,2.7,87.4,0.2,0.1,3.4,50.0,50.0,16.9,1473.0,26985881.0,82349.0,328.0,63702161.0,5280.5,12063.66,70289768.0,5509.0,12759.08
6250050,Laliberte Elementary School,Public School,Raynham,MA,"02,03,04",Bridgewater-Raynham,6250000,0,0,0,159,168,173,0,0,0,0,0,0,0,0,0,2.4,1.0,15.0,29.8,17.4,4.6,1.8,2.0,89.0,0.4,0.0,2.2,54.2,45.8,23.4,464.0,26985881.0,82349.0,328.0,63702161.0,5280.5,12063.66,70289768.0,5509.0,12759.08
6250020,Merrill Elementary School,Public School,Raynham,MA,"K,01",Bridgewater-Raynham,6250000,0,166,158,0,0,0,0,0,0,0,0,0,0,0,0,3.7,3.1,11.1,29.9,22.5,5.9,2.8,0.3,89.2,0.0,0.0,1.9,50.3,49.7,21.3,306.0,26985881.0,82349.0,328.0,63702161.0,5280.5,12063.66,70289768.0,5509.0,12759.08
6250002,Mitchell Elementary School,Public School,Bridgewater,MA,"PK,K,01,02,03",Bridgewater-Raynham,6250000,127,219,205,213,246,0,0,0,0,0,0,0,0,0,0,3.0,1.7,17.9,31.0,16.7,6.0,1.6,2.7,86.1,0.0,0.1,3.5,52.9,47.1,20.9,1053.0,26985881.0,82349.0,328.0,63702161.0,5280.5,12063.66,70289768.0,5509.0,12759.08
6250315,Raynham Middle School,Public School,Raynham,MA,"05,06,07,08",Bridgewater-Raynham,6250000,0,0,0,0,0,0,135,180,187,189,0,0,0,0,0,5.2,0.7,12.4,26.2,16.8,2.7,2.3,2.7,88.6,0.0,0.1,3.5,49.5,50.5,23.0,720.0,26985881.0,82349.0,328.0,63702161.0,5280.5,12063.66,70289768.0,5509.0,12759.08
6250415,Therapeutic Day School,Public School,Bridgewater,MA,"05,06,07,08,09,10,11,12",Bridgewater-Raynham,6250000,0,0,0,0,0,0,0,1,2,0,2,4,0,2,0,0.0,0.0,100.0,100.0,36.4,0.0,0.0,0.0,90.9,0.0,0.0,9.1,54.5,45.5,,,26985881.0,82349.0,328.0,63702161.0,5280.5,12063.66,70289768.0,5509.0,12759.08
6250300,Williams Intermediate School,Public School,Bridgewater,MA,"04,05,06",Bridgewater-Raynham,6250000,0,0,0,0,0,287,243,262,0,0,0,0,0,0,0,3.3,1.4,17.0,31.4,17.4,3.5,1.1,3.0,86.6,0.4,0.3,5.1,53.3,46.7,22.7,748.0,26985881.0,82349.0,328.0,63702161.0,5280.5,12063.66,70289768.0,5509.0,12759.08
9100705,Bristol County Agricultural High,Public School,Dighton,MA,"09,10,11,12",Bristol County Agricultural,9100000,0,0,0,0,0,0,0,0,0,0,124,119,116,109,0,1.5,0.0,12.6,27.6,17.1,0.2,0.2,2.6,95.5,0.2,0.0,1.3,28.2,71.4,17.7,458.0,2198543.0,66221.0,33.0,8632381.05,447.8,19277.31,8632381.05,447.8,19277.31
